"oil" "HCR" "FDR" "HMR" "Material"
"acc_sum_n" "6.82" "0.525581395348837" "0" "0.971428571428571" "GY923/BY815/CHOI4"
"acc_sum_n1" "2.41" "0.693548387096774" "0.231849496555379" "0.450819672131148" "JK968/CAU6"
"acc_sum_n2" "3.69" "0.925925925925926" "0.0714285714285714" "0.0714285714285714" "JK968/CHOI4"
"acc_sum_n3" "1.955" "0.900763358778626" "0.0597014925373134" "0.125" "ND678/CAU6"
"acc_sum_n4" "3.365" "0.793388429752066" "0.125" "0.311475409836066" "ND678/CHOI4"
"acc_sum_n5" "1.23045833333333" "0.595070422535211" "NaN" "0.999528985507246" "Qi319/BY815/CAU6"
"acc_sum_n6" "2.245" "0.697478991596639" "0.125" "0.46969696969697" "XY335/CAU6"
"acc_sum_n7" "3.8275" "0.80188679245283" "0.157557354925776" "0.21875" "XY335/CHOI4"
"acc_sum_n8" "3.73909090909091" "0.60958904109589" "0.191387559808612" "0.897265336289727" "Yu8701/BY815/CAU6"
"acc_sum_n9" "4.62085714285714" "0.543933054393305" "0.0580952380952381" "0.924297924297924" "Z58/BY815/CHOI4"
"acc_sum_n10" "4.82" "0.862385321100917" "0.110169491525424" "0.233576642335766" "ZD958/CAU1"
"acc_sum_n11" "3.86333333333333" "0.811088295687885" "0.177348777348777" "0.57487922705314" "ZD958/CAU2"
"acc_sum_n12" "4.215" "0.762214983713355" "0.218934911242604" "0.214285714285714" "ZD958/CAU3"
"acc_sum_n13" "4.08666666666667" "0.732824427480916" "0.229272492466638" "0.359580052493438" "ZD958/CAU4"
"acc_sum_n14" "4.15" "0.816666666666667" "0.191616766467066" "0.0816326530612245" "ZD958/CAU5"
"acc_sum_n15" "2.916" "0.681818181818182" "0.230555555555556" "0.540425531914894" "ZD958/CAU6"
"acc_sum_n16" "4.526" "0.91699604743083" "0.0641866036031899" "0.0977099236641221" "ZD958/CAUZPY"
"acc_sum_n17" "5.13" "0.966165413533835" "0.0310077519379845" "0.0384615384615385" "ZD958/CHOI1"
"acc_sum_n18" "5.29625" "0.910714285714286" "0.0337874343933313" "0.113439306358382" "ZD958/CHOI2"
"acc_sum_n19" "4.375" "0.912650602409639" "0.0915492957746479" "0.110344827586207" "ZD958/CHOI3"
"acc_sum_n20" "5.38" "0.948717948717949" "0.0555555555555556" "0.0449438202247191" "ZD958/CHOI4"
"acc_sum_n21" "4.8" "0.950704225352113" "0.0384615384615385" "0.0506329113924051" "ZD958/CHOI4-1"
