inducer	weight	oc
CAU1	0.198	6.447
CAU1	0.203	6.747
CAU1	0.223	7.61
CAU1	0.207	7.71
CAU1	0.21	6.882
CAU1	0.19	7.585
CAU1	0.196	6.417
CAU1	0.212	7.491
CAU1	0.198	7.099
CAU1	0.202	6.45
CAU1	0.179	5.962
CAU1	0.22	7.008
CAU1	0.209	7.048
CAU1	0.209	6.851
CAU1	0.231	6.595
CAU1	0.258	7.329
CAU1	0.207	7.427
CAU1	0.222	6.928
CAU1	0.241	7.148
CAU1	0.222	6.072
CAU1	0.241	8.045
CAU1	0.267	7.33
CAU1	0.213	7.243
CAU1	0.228	7.392
CAU1	0.19	7.276
CAU1	0.208	6.983
CAU1	0.238	6.746
CAU1	0.173	6.337
CAU1	0.228	7.026
CAU1	0.242	6.623
CAU1	0.26	7.004
CAU1	0.237	7.303
CAU1	0.26	7.283
CAU1	0.239	7.335
CAU1	0.249	7.771
CAU1	0.258	7.101
CAU1	0.234	7.069
CAU1	0.256	7.429
CAU1	0.237	7.113
CAU1	0.248	7.499
CAU1	0.23	7.034
CAU1	0.23	6.233
CAU2	0.214	4.263
CAU2	0.231	4.135
CAU2	0.203	4.554
CAU2	0.213	4.663
CAU2	0.18	4.651
CAU2	0.204	4.182
CAU2	0.207	3.903
CAU2	0.208	3.952
CAU2	0.195	4.543
CAU2	0.206	4.609
CAU2	0.194	3.838
CAU2	0.188	5.192
CAU2	0.193	3.428
CAU2	0.21	3.635
CAU2	0.218	4.023
CAU2	0.18	4.144
CAU2	0.183	3.646
CAU2	0.182	5.23
CAU2	0.216	2.986
CAU2	0.203	3.716
CAU2	0.201	3.989
CAU2	0.177	3.963
CAU2	0.18	3.669
CAU2	0.178	3.767
CAU2	0.162	3.544
CAU2	0.182	3.458
CAU2	0.186	3.655
CAU2	0.225	4.392
CAU2	0.219	4.255
CAU2	0.214	5.031
CAU2	0.201	4.083
CAU2	0.166	3.545
CAU2	0.212	4.506
CAU2	0.214	4.425
CAU2	0.218	4.727
CAU2	0.186	3.528
CAU2	0.195	4.106
CAU2	0.201	3.859
CAU2	0.202	4.908
CAU2	0.198	4.148
CAU2	0.204	4.01
CAU2	0.2	4.65
CAU3	0.183	2.804
CAU3	0.179	3.446
CAU3	0.181	2.194
CAU3	0.177	3.004
CAU3	0.155	2.408
CAU3	0.154	2.329
CAU3	0.168	3.247
CAU3	0.159	2.152
CAU3	0.09	2.243
CAU3	0.168	3.489
CAU3	0.142	2.581
CAU3	0.109	2.375
CAU3	0.155	3.978
CAU3	0.16	4.532
CAU3	0.159	3.773
CAU3	0.155	3.688
CAU3	0.127	2.487
CAU3	0.143	3.502
CAU3	0.152	4.743
CAU3	0.159	4.872
CAU3	0.131	2.266
CAU3	0.144	3.383
CAU3	0.16	3.312
CAU3	0.151	3.897
CAU3	0.143	4.319
CAU3	0.16	3.431
CAU3	0.16	3.779
CAU4	0.209	4.568
CAU4	0.23	4.978
CAU4	0.222	4.064
CAU4	0.235	4.563
CAU4	0.231	4.48
CAU4	0.215	4.056
CAU4	0.228	3.898
CAU4	0.206	4.235
CAU4	0.16	4.432
CAU4	0.197	4.155
CAU4	0.216	4.395
CAU4	0.225	4.599
CAU4	0.231	4.139
CAU4	0.209	4.444
CAU4	0.206	4.396
CAU4	0.218	4.332
CAU4	0.212	4.263
CAU4	0.178	4.037
CAU4	0.225	4.614
CAU4	0.206	4.409
CAU4	0.193	4.147
CAU4	0.227	4.438
CAU4	0.213	4.367
CAU4	0.214	3.718
CAU4	0.197	4.669
CAU4	0.17	4.789
CAU4	0.215	4.154
CAU4	0.215	4.56
CAU4	0.193	3.521
CAU5	0.205	3.584
CAU5	0.196	3.513
CAU5	0.206	3.156
CAU5	0.216	2.965
CAU5	0.223	2.94
CAU5	0.209	3.419
CAU5	0.201	2.984
CAU5	0.196	3.141
CAU5	0.21	3.148
CAU5	0.176	3.327
CAU5	0.216	2.968
CAU5	0.188	3.474
CAU5	0.209	3.584
CAU5	0.213	3.604
CAU5	0.212	3.839
CAU5	0.208	4.195
CAU5	0.219	3.816
CAU5	0.198	3.404
CAU5	0.201	3.921
CAU5	0.206	3.671
CAU5	0.186	3.103
CAU5	0.219	3.191
CAU5	0.207	3.205
CAU5	0.208	3.725
CAU5	0.204	3.325
CAU5	0.2	2.955
CAU5	0.213	3.849
CAU5	0.208	2.87
CAU5	0.189	3.448
CAU5	0.175	3.321
CAU5	0.182	3.99
CAU5	0.187	3.364
CAU5	0.182	3.468
CAU5	0.184	2.876
CAU5	0.175	3.395
CAU5	0.179	3.134
CAU5	0.182	3.492
CAU5	0.188	3.385
CAU5	0.193	2.518
CAU5	0.191	4.16
CAU5	0.178	3.486
CAU5	0.194	2.607
CAU5	0.176	3.181
CHOI1	0.29	8.394
CHOI1	0.27	9.622
CHOI1	0.301	8.767
CHOI1	0.25	9.538
CHOI1	0.25	8.867
CHOI1	0.248	9.167
CHOI1	0.26	9.093
CHOI1	0.253	8.834
CHOI1	0.27	9.532
CHOI1	0.225	9.839
CHOI1	0.238	9.449
CHOI1	0.227	7.102
CHOI1	0.232	8.797
CHOI1	0.235	9.324
CHOI1	0.241	8.304
CHOI1	0.238	8.605
CHOI1	0.258	7.005
CHOI1	0.246	9.718
CHOI1	0.278	9.175
CHOI1	0.258	7.73
CHOI1	0.257	8.54
CHOI1	0.225	7.13
CHOI1	0.254	9.059
CHOI1	0.222	7.912
CHOI1	0.262	8.424
CHOI1	0.262	7.828
CHOI1	0.222	7.948
CHOI1	0.243	7.427
CHOI1	0.291	9.183
CHOI1	0.251	8.367
CHOI1	0.277	8.535
CHOI1	0.259	8.854
CHOI1	0.267	7.321
CHOI1	0.277	7.409
CHOI1	0.235	8.963
CHOI1	0.243	8.431
CHOI1	0.267	7.419
CHOI1	0.261	7.552
CHOI1	0.262	7.626
CHOI1	0.258	7.076
CHOI1	0.219	7.9
CHOI2	0.204	7.185
CHOI2	0.23	7.216
CHOI2	0.204	6.921
CHOI2	0.196	6.698
CHOI2	0.235	7.057
CHOI2	0.233	7.954
CHOI2	0.239	7.192
CHOI2	0.236	7.611
CHOI2	0.256	6.688
CHOI2	0.256	7.332
CHOI2	0.232	7.511
CHOI2	0.263	7.51
CHOI2	0.201	8.271
CHOI2	0.229	8.018
CHOI2	0.198	6.943
CHOI2	0.24	7.158
CHOI2	0.251	6.796
CHOI2	0.229	7.94
CHOI2	0.222	6.84
CHOI2	0.231	7.449
CHOI2	0.24	7.1
CHOI2	0.244	7.706
CHOI2	0.208	6.697
CHOI2	0.238	6.398
CHOI2	0.231	6.55
CHOI2	0.217	7.557
CHOI2	0.224	7.218
CHOI2	0.218	8.11
CHOI2	0.238	7.385
CHOI3	0.26	7.868
CHOI3	0.258	9.233
CHOI3	0.255	7.95
CHOI3	0.25	7.845
CHOI3	0.242	9.772
CHOI3	0.233	10.325
CHOI3	0.274	9.286
CHOI3	0.238	9.106
CHOI3	0.251	8.223
CHOI3	0.255	8.676
CHOI3	0.27	7.559
CHOI3	0.273	8.259
CHOI3	0.206	8.602
CHOI3	0.234	7.944
CHOI3	0.258	8.656
CHOI3	0.23	8.871
CHOI3	0.228	8.477
CHOI3	0.244	8.515
CHOI3	0.273	9.377
CHOI3	0.283	10.006
CHOI3	0.251	9.76
CHOI3	0.279	9.721
CHOI3	0.253	9.077
CHOI3	0.262	8.409
CHOI3	0.246	7.509
CHOI3	0.267	8.389
CHOI3	0.238	7.804
CHOI3	0.266	8.522
CHOI3	0.253	10.265
CHOI3	0.279	9.336
CHOI3	0.273	7.708
CHOI3	0.232	7.618
CHOI3	0.26	7.714
CHOI3	0.273	8.113
CHOI3	0.218	8.63
CHOI3	0.241	7.142
CHOI3	0.259	10.141
CHOI3	0.231	8.107
CHOI3	0.28	9.544
CHOI3	0.263	9.107
CHOI3	0.246	7.762
CHOI3	0.251	7.3
CHOI3	0.232	8.836
CHOI3	0.273	8.591
CHOI3	0.251	8.046
CHOI3	0.263	7.786
CHOI3	0.289	7.526
CHOI3	0.21	7.9
CHOI3	0.231	8.562
CHOI3	0.258	9.166
CHOI3	0.26	9.221
CHOI3	0.218	8.943
CHOI3	0.257	9.272
CHOI3	0.244	8.162
CHOI3	0.246	8.495
CHOI4	0.371	11.956
CHOI4	0.372	11.785
CHOI4	0.365	12.471
CHOI4	0.372	11.053
CHOI4	0.384	12.218
CHOI4	0.358	11.213
CHOI4	0.354	11.043
CHOI4	0.358	11.781
CHOI4	0.387	11.512
CHOI4	0.33	12.437
CHOI4	0.373	13.269
CHOI4	0.353	12.691
CHOI4	0.359	11.935
CHOI4	0.37	10.824
CHOI4	0.396	10.719
