name	m	weight	oil
335F2(霉)	XY335	0.47	1.686
335F2(霉)	XY335	0.46	2.287
335F2(霉)	XY335	0.45	1.689
335F2(霉)	XY335	0.45	2.333
335F2(霉)	XY335	0.45	2.427
335F2(霉)	XY335	0.45	2.955
335F2(霉)	XY335	0.44	1.953
335F2(霉)	XY335	0.44	2.283
335F2(霉)	XY335	0.44	2.337
335F2(霉)	XY335	0.44	2.381
335F2(霉)	XY335	0.44	2.777
335F2(霉)	XY335	0.44	3.085
335F2(霉)	XY335	0.43	1.735
335F2(霉)	XY335	0.43	1.908
335F2(霉)	XY335	0.43	2.162
335F2(霉)	XY335	0.43	2.234
335F2(霉)	XY335	0.43	2.262
335F2(霉)	XY335	0.43	2.298
335F2(霉)	XY335	0.43	2.312
335F2(霉)	XY335	0.43	2.419
335F2(霉)	XY335	0.43	2.761
335F2(霉)	XY335	0.43	3.265
335F2(霉)	XY335	0.42	1.485
335F2(霉)	XY335	0.42	1.978
335F2(霉)	XY335	0.42	2.246
335F2(霉)	XY335	0.42	2.644
335F2(霉)	XY335	0.42	2.698
335F2(霉)	XY335	0.42	2.779
335F2(霉)	XY335	0.42	2.892
335F2(霉)	XY335	0.42	2.939
335F2(霉)	XY335	0.42	3.302
335F2(霉)	XY335	0.41	2.144
335F2(霉)	XY335	0.41	2.167
335F2(霉)	XY335	0.41	2.263
335F2(霉)	XY335	0.41	2.446
335F2(霉)	XY335	0.41	2.766
335F2(霉)	XY335	0.4	1.789
335F2(霉)	XY335	0.4	2.512
335F2(霉)	XY335	0.4	2.53
335F2(霉)	XY335	0.4	2.624
335F2(霉)	XY335	0.4	2.809
335F2(霉)	XY335	0.4	2.938
335F2(霉)	XY335	0.4	3.082
335F2(霉)	XY335	0.39	2.084
335F2(霉)	XY335	0.39	2.329
335F2(霉)	XY335	0.39	2.494
335F2(霉)	XY335	0.39	2.843
335F2(霉)	XY335	0.39	3.023
335F2(霉)	XY335	0.39	3.033
335F2(霉)	XY335	0.39	3.423
335F2(霉)	XY335	0.38	2.336
335F2(霉)	XY335	0.38	2.377
335F2(霉)	XY335	0.38	2.5
335F2(霉)	XY335	0.38	2.518
335F2(霉)	XY335	0.38	2.774
335F2(霉)	XY335	0.38	3.317
335F2(霉)	XY335	0.38	3.649
335F2(霉)	XY335	0.37	2.11
335F2(霉)	XY335	0.37	2.546
335F2(霉)	XY335	0.36	3.176
335F2(霉)	XY335	0.35	2.92
335F2(霉)	XY335	0.35	3.054
335F2(霉)	XY335	0.35	3.306
335F2(霉)	XY335	0.28	3.56
335F2(霉)	XY335	0.27	2.081
678F1	ND678	0.44	2.564
678F1	ND678	0.43	2.618
678F1	ND678	0.4	2.874
678F1	ND678	0.39	2.267
678F1	ND678	0.39	2.656
678F1	ND678	0.39	5.299
678F1	ND678	0.38	2.631
678F1	ND678	0.38	3.765
678F1	ND678	0.37	2.666
678F1	ND678	0.37	2.821
678F1	ND678	0.37	3.622
678F1	ND678	0.36	2.09
678F1	ND678	0.36	2.626
678F1	ND678	0.36	2.771
678F1	ND678	0.36	3.687
678F1	ND678	0.36	4.476
678F1	ND678	0.35	2.673
678F1	ND678	0.35	3.084
678F1	ND678	0.35	3.835
678F1	ND678	0.35	6.527
678F1	ND678	0.34	1.895
678F1	ND678	0.34	2.213
678F1	ND678	0.34	2.654
678F1	ND678	0.34	3.477
678F1	ND678	0.34	3.663
678F1	ND678	0.34	3.808
678F1	ND678	0.33	1.988
678F1	ND678	0.33	2.469
678F1	ND678	0.33	2.799
678F1	ND678	0.33	2.882
678F1	ND678	0.32	2.687
678F1	ND678	0.31	2.042
678F1	ND678	0.31	2.115
678F1	ND678	0.31	2.371
678F1	ND678	0.31	2.382
678F1	ND678	0.31	2.422
678F1	ND678	0.31	2.602
678F1	ND678	0.31	2.94
678F1	ND678	0.31	4.202
