m	weight	oil
JK968	0.38	4.256
JK968	0.34	4.077
JK968	0.31	4.068
JK968	0.33	4.035
JK968	0.39	3.852
JK968	0.4	3.827
JK968	0.38	3.712
JK968	0.33	3.685
JK968	0.35	3.684
JK968	0.39	3.67
JK968	0.31	3.666
JK968	0.44	3.639
JK968	0.44	3.638
JK968	0.48	3.568
JK968	0.28	3.542
JK968	0.38	3.498
JK968	0.38	3.471
JK968	0.33	3.447
JK968	0.39	3.402
JK968	0.38	3.376
JK968	0.38	3.367
JK968	0.42	3.348
JK968	0.37	3.347
JK968	0.37	3.321
JK968	0.43	3.282
JK968	0.36	3.278
JK968	0.39	3.276
JK968	0.34	3.275
JK968	0.32	3.264
JK968	0.36	3.255
JK968	0.38	3.216
JK968	0.36	3.205
JK968	0.37	3.202
JK968	0.46	3.17
JK968	0.35	3.16
JK968	0.43	3.152
JK968	0.39	3.151
JK968	0.44	3.148
JK968	0.35	3.148
JK968	0.43	3.141
JK968	0.43	3.135
JK968	0.32	3.13
JK968	0.36	3.122
JK968	0.45	3.117
JK968	0.43	3.115
JK968	0.34	3.103
JK968	0.36	3.092
JK968	0.47	3.076
JK968	0.39	3.065
JK968	0.36	3.055
JK968	0.44	3.05
JK968	0.4	3.043
JK968	0.44	3.017
JK968	0.49	2.978
JK968	0.42	2.974
JK968	0.28	2.967
JK968	0.43	2.965
JK968	0.39	2.943
JK968	0.4	2.942
JK968	0.23	2.921
JK968	0.46	2.902
JK968	0.44	2.865
JK968	0.46	2.864
JK968	0.27	2.861
JK968	0.47	2.858
JK968	0.43	2.855
JK968	0.38	2.855
JK968	0.36	2.852
JK968	0.36	2.849
JK968	0.41	2.845
JK968	0.39	2.825
JK968	0.43	2.805
JK968	0.38	2.768
JK968	0.38	2.766
JK968	0.35	2.765
JK968	0.39	2.761
JK968	0.41	2.759
JK968	0.44	2.75
JK968	0.41	2.747
JK968	0.37	2.741
JK968	0.4	2.735
JK968	0.37	2.733
JK968	0.39	2.704
JK968	0.36	2.693
JK968	0.35	2.679
JK968	0.41	2.676
JK968	0.48	2.651
JK968	0.43	2.643
JK968	0.38	2.643
JK968	0.4	2.628
JK968	0.45	2.626
JK968	0.4	2.625
JK968	0.38	2.614
JK968	0.37	2.607
JK968	0.43	2.602
JK968	0.2	2.585
JK968	0.38	2.574
JK968	0.35	2.572
JK968	0.4	2.57
JK968	0.39	2.569
JK968	0.41	2.553
JK968	0.44	2.543
JK968	0.42	2.537
JK968	0.48	2.521
JK968	0.42	2.511
JK968	0.41	2.507
JK968	0.41	2.505
JK968	0.39	2.505
JK968	0.37	2.503
JK968	0.37	2.502
JK968	0.38	2.494
JK968	0.35	2.454
JK968	0.42	2.447
JK968	0.38	2.445
JK968	0.44	2.427
JK968	0.38	2.417
JK968	0.35	2.415
JK968	0.4	2.401
JK968	0.35	2.394
JK968	0.44	2.389
JK968	0.41	2.385
JK968	0.39	2.383
JK968	0.28	2.357
JK968	0.34	2.353
JK968	0.45	2.333
JK968	0.37	2.328
JK968	0.42	2.32
JK968	0.38	2.317
JK968	0.38	2.306
JK968	0.37	2.287
JK968	0.34	2.275
JK968	0.38	2.265
JK968	0.41	2.264
JK968	0.32	2.25
JK968	0.38	2.246
JK968	0.36	2.236
JK968	0.42	2.235
JK968	0.37	2.221
JK968	0.34	2.203
JK968	0.42	2.194
JK968	0.36	2.187
JK968	0.39	2.183
JK968	0.43	2.182
JK968	0.32	2.182
JK968	0.37	2.17
JK968	0.37	2.153
JK968	0.34	2.14
JK968	0.36	2.077
JK968	0.34	1.908
JK968	0.4	1.902
JK968	0.39	1.876
JK968	0.42	1.846
JK968	0.36	1.846
JK968	0.37	1.767
JK968	0.39	1.667
ND678	0.31	4.202
ND678	0.35	3.835
ND678	0.34	3.808
ND678	0.38	3.765
ND678	0.36	3.687
ND678	0.34	3.663
ND678	0.37	3.622
ND678	0.34	3.477
ND678	0.29	3.344
ND678	0.25	3.331
ND678	0.27	3.25
ND678	0.28	3.129
ND678	0.35	3.084
ND678	0.27	3.023
ND678	0.25	2.982
ND678	0.3	2.941
ND678	0.31	2.94
ND678	0.33	2.882
ND678	0.4	2.874
ND678	0.37	2.821
ND678	0.33	2.799
ND678	0.26	2.781
ND678	0.36	2.771
ND678	0.32	2.687
ND678	0.29	2.685
ND678	0.35	2.673
ND678	0.37	2.666
ND678	0.39	2.656
ND678	0.34	2.654
ND678	0.38	2.631
ND678	0.36	2.626
ND678	0.3	2.623
ND678	0.43	2.618
ND678	0.31	2.602
ND678	0.44	2.564
ND678	0.22	2.559
ND678	0.33	2.469
ND678	0.29	2.458
ND678	0.31	2.422
ND678	0.27	2.41
ND678	0.26	2.395
ND678	0.31	2.382
ND678	0.28	2.377
ND678	0.31	2.371
ND678	0.27	2.316
ND678	0.23	2.279
ND678	0.39	2.267
ND678	0.26	2.217
ND678	0.34	2.213
ND678	0.31	2.115
ND678	0.36	2.09
ND678	0.26	2.083
ND678	0.25	2.051
ND678	0.31	2.042
ND678	0.33	1.988
ND678	0.27	1.915
ND678	0.34	1.895
ND678	0.29	1.781
ND678	0.28	1.689
ND678	0.3	1.611
XY335	0.38	3.649
XY335	0.28	3.56
XY335	0.39	3.423
XY335	0.38	3.317
XY335	0.35	3.306
XY335	0.42	3.302
XY335	0.43	3.265
XY335	0.36	3.176
XY335	0.44	3.085
XY335	0.4	3.082
XY335	0.35	3.054
XY335	0.39	3.033
XY335	0.39	3.023
XY335	0.45	2.955
XY335	0.42	2.939
XY335	0.4	2.938
XY335	0.35	2.92
XY335	0.42	2.892
XY335	0.39	2.843
XY335	0.4	2.809
XY335	0.42	2.779
XY335	0.44	2.777
XY335	0.38	2.774
XY335	0.41	2.766
XY335	0.43	2.761
XY335	0.42	2.698
XY335	0.42	2.644
XY335	0.4	2.624
XY335	0.37	2.546
XY335	0.4	2.53
XY335	0.38	2.518
XY335	0.4	2.512
XY335	0.38	2.5
XY335	0.39	2.494
XY335	0.41	2.446
XY335	0.45	2.427
XY335	0.43	2.419
XY335	0.44	2.381
XY335	0.38	2.377
XY335	0.44	2.337
XY335	0.38	2.336
