name	male	female	group	type	weight	oil
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.38	6.31
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	6.039
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	5.844
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	5.659
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	5.658
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.37	5.566
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.38	5.478
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.38	5.431
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	5.424
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	5.414
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	5.407
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	5.399
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	5.396
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	5.396
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	5.38
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	5.249
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	5.212
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	5.18
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.32	5.118
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	5.088
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.31	5.036
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.46	5.029
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	5.027
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.36	5.009
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	4.995
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.42	4.981
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.36	4.977
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	4.955
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.32	4.933
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.925
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	4.903
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	4.879
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.36	4.802
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.35	4.777
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	4.754
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.753
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	4.733
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.697
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.47	4.694
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.684
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	4.666
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.646
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.3	4.621
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.611
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.35	4.606
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.36	4.598
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.29	4.58
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.56
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.44	4.537
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.531
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.514
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.32	4.492
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.31	4.479
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.38	4.474
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.43	4.423
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.3	4.414
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.46	4.397
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.46	4.359
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.358
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.358
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.335
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.334
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	4.271
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.37	4.258
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.3	4.229
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.37	4.195
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.46	4.17
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	4.131
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.77	4.125
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.42	4.084
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	4.084
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	4.068
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.34	4.065
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.38	4.055
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	4.037
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.3	4.03
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	4.027
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.42	4.014
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	3.928
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	3.913
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.42	3.904
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.41	3.897
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.38	3.895
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.39	3.879
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.32	3.875
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.45	3.872
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	3.836
C1DAN	CAU1	ZD958	ZD958/CAU1	H	0.4	3.835
