male	female	group	type	weight	oil
CAU1	ZD958	ZD958/CAU1	H	0.38	6.31
CAU1	ZD958	ZD958/CAU1	H	0.4	6.039
CAU1	ZD958	ZD958/CAU1	H	0.41	5.844
CAU1	ZD958	ZD958/CAU1	H	0.34	5.659
CAU1	ZD958	ZD958/CAU1	H	0.4	5.658
CAU1	ZD958	ZD958/CAU1	H	0.37	5.566
CAU1	ZD958	ZD958/CAU1	H	0.38	5.478
CAU1	ZD958	ZD958/CAU1	H	0.38	5.431
CAU1	ZD958	ZD958/CAU1	H	0.39	5.424
CAU1	ZD958	ZD958/CAU1	H	0.4	5.414
CAU1	ZD958	ZD958/CAU1	H	0.4	5.407
CAU1	ZD958	ZD958/CAU1	H	0.34	5.399
CAU1	ZD958	ZD958/CAU1	H	0.4	5.396
CAU1	ZD958	ZD958/CAU1	H	0.41	5.396
CAU1	ZD958	ZD958/CAU1	H	0.4	5.38
CAU1	ZD958	ZD958/CAU1	H	0.41	5.249
CAU1	ZD958	ZD958/CAU1	H	0.39	5.212
CAU1	ZD958	ZD958/CAU1	H	0.39	5.18
CAU1	ZD958	ZD958/CAU1	H	0.32	5.118
CAU1	ZD958	ZD958/CAU1	H	0.34	5.088
CAU1	ZD958	ZD958/CAU1	H	0.31	5.036
CAU1	ZD958	ZD958/CAU1	H	0.46	5.029
CAU1	ZD958	ZD958/CAU1	H	0.41	5.027
CAU1	ZD958	ZD958/CAU1	H	0.36	5.009
CAU1	ZD958	ZD958/CAU1	H	0.41	4.995
CAU1	ZD958	ZD958/CAU1	H	0.42	4.981
CAU1	ZD958	ZD958/CAU1	H	0.36	4.977
CAU1	ZD958	ZD958/CAU1	H	0.41	4.955
CAU1	ZD958	ZD958/CAU1	H	0.32	4.933
CAU1	ZD958	ZD958/CAU1	H	0.4	4.925
CAU1	ZD958	ZD958/CAU1	H	0.34	4.903
CAU1	ZD958	ZD958/CAU1	H	0.34	4.879
CAU1	ZD958	ZD958/CAU1	H	0.36	4.802
CAU1	ZD958	ZD958/CAU1	H	0.35	4.777
CAU1	ZD958	ZD958/CAU1	H	0.34	4.754
CAU1	ZD958	ZD958/CAU1	H	0.4	4.753
CAU1	ZD958	ZD958/CAU1	H	0.41	4.733
CAU1	ZD958	ZD958/CAU1	H	0.39	4.697
CAU1	ZD958	ZD958/CAU1	H	0.47	4.694
CAU1	ZD958	ZD958/CAU1	H	0.4	4.684
CAU1	ZD958	ZD958/CAU1	H	0.41	4.666
CAU1	ZD958	ZD958/CAU1	H	0.39	4.646
CAU1	ZD958	ZD958/CAU1	H	0.3	4.621
CAU1	ZD958	ZD958/CAU1	H	0.4	4.611
CAU1	ZD958	ZD958/CAU1	H	0.35	4.606
CAU1	ZD958	ZD958/CAU1	H	0.36	4.598
CAU1	ZD958	ZD958/CAU1	H	0.29	4.58
CAU1	ZD958	ZD958/CAU1	H	0.4	4.56
CAU1	ZD958	ZD958/CAU1	H	0.44	4.537
CAU1	ZD958	ZD958/CAU1	H	0.4	4.531
CAU1	ZD958	ZD958/CAU1	H	0.4	4.514
CAU1	ZD958	ZD958/CAU1	H	0.32	4.492
CAU1	ZD958	ZD958/CAU1	H	0.31	4.479
CAU1	ZD958	ZD958/CAU1	H	0.38	4.474
CAU1	ZD958	ZD958/CAU1	H	0.43	4.423
CAU1	ZD958	ZD958/CAU1	H	0.3	4.414
CAU1	ZD958	ZD958/CAU1	H	0.46	4.397
CAU1	ZD958	ZD958/CAU1	H	0.46	4.359
CAU1	ZD958	ZD958/CAU1	H	0.39	4.358
CAU1	ZD958	ZD958/CAU1	H	0.39	4.358
CAU1	ZD958	ZD958/CAU1	H	0.39	4.335
CAU1	ZD958	ZD958/CAU1	H	0.39	4.334
CAU1	ZD958	ZD958/CAU1	H	0.34	4.271
CAU1	ZD958	ZD958/CAU1	H	0.37	4.258
CAU1	ZD958	ZD958/CAU1	H	0.3	4.229
CAU1	ZD958	ZD958/CAU1	H	0.37	4.195
CAU1	ZD958	ZD958/CAU1	H	0.46	4.17
CAU1	ZD958	ZD958/CAU1	H	0.4	4.131
CAU1	ZD958	ZD958/CAU1	H	0.77	4.125
CAU1	ZD958	ZD958/CAU1	H	0.42	4.084
CAU1	ZD958	ZD958/CAU1	H	0.34	4.084
CAU1	ZD958	ZD958/CAU1	H	0.41	4.068
CAU1	ZD958	ZD958/CAU1	H	0.34	4.065
CAU1	ZD958	ZD958/CAU1	H	0.38	4.055
CAU1	ZD958	ZD958/CAU1	H	0.39	4.037
CAU1	ZD958	ZD958/CAU1	H	0.3	4.03
CAU1	ZD958	ZD958/CAU1	H	0.41	4.027
CAU1	ZD958	ZD958/CAU1	H	0.42	4.014
CAU1	ZD958	ZD958/CAU1	H	0.4	3.928
CAU1	ZD958	ZD958/CAU1	H	0.4	3.913
CAU1	ZD958	ZD958/CAU1	H	0.42	3.904
CAU1	ZD958	ZD958/CAU1	H	0.41	3.897
CAU1	ZD958	ZD958/CAU1	H	0.38	3.895
CAU1	ZD958	ZD958/CAU1	H	0.39	3.879
CAU1	ZD958	ZD958/CAU1	H	0.32	3.875
CAU1	ZD958	ZD958/CAU1	H	0.45	3.872
CAU1	ZD958	ZD958/CAU1	H	0.4	3.836
CAU1	ZD958	ZD958/CAU1	H	0.4	3.835
CAU1	ZD958	ZD958/CAU1	H	0.38	3.808
CAU1	ZD958	ZD958/CAU1	H	0.45	3.792
CAU1	ZD958	ZD958/CAU1	H	0.4	3.78
CAU1	ZD958	ZD958/CAU1	H	0.33	3.774
CAU1	ZD958	ZD958/CAU1	H	0.32	3.764
CAU1	ZD958	ZD958/CAU1	H	0.31	3.751
CAU1	ZD958	ZD958/CAU1	H	0.38	3.746
CAU1	ZD958	ZD958/CAU1	H	0.38	3.735
CAU1	ZD958	ZD958/CAU1	H	0.43	3.735
CAU1	ZD958	ZD958/CAU1	H	0.46	3.725
CAU1	ZD958	ZD958/CAU1	H	0.4	3.721
CAU1	ZD958	ZD958/CAU1	H	0.32	3.701
CAU1	ZD958	ZD958/CAU1	H	0.4	3.592
CAU1	ZD958	ZD958/CAU1	H	0.42	3.569
CAU1	ZD958	ZD958/CAU1	H	0.4	3.565
CAU1	ZD958	ZD958/CAU1	H	0.37	3.505
CAU1	ZD958	ZD958/CAU1	H	0.47	3.49
CAU1	ZD958	ZD958/CAU1	H	0.34	3.487
CAU1	ZD958	ZD958/CAU1	H	0.4	3.482
CAU1	ZD958	ZD958/CAU1	H	0.4	3.456
CAU1	ZD958	ZD958/CAU1	H	0.34	3.449
CAU1	ZD958	ZD958/CAU1	H	0.38	3.432
CAU1	ZD958	ZD958/CAU1	H	0.42	3.396
CAU1	ZD958	ZD958/CAU1	H	0.38	3.386
CAU1	ZD958	ZD958/CAU1	H	0.4	3.337
CAU1	ZD958	ZD958/CAU1	H	0.4	3.33
CAU1	ZD958	ZD958/CAU1	H	0.34	3.316
CAU1	ZD958	ZD958/CAU1	H	0.4	3.292
CAU1	ZD958	ZD958/CAU1	H	0.4	3.284
CAU1	ZD958	ZD958/CAU1	H	0.3	3.265
CAU1	ZD958	ZD958/CAU1	H	0.4	3.26
CAU1	ZD958	ZD958/CAU1	H	0.34	3.243
CAU1	ZD958	ZD958/CAU1	H	0.4	3.213
CAU1	ZD958	ZD958/CAU1	H	0.42	3.212
CAU1	ZD958	ZD958/CAU1	H	0.35	3.185
CAU1	ZD958	ZD958/CAU1	H	0.31	3.139
CAU1	ZD958	ZD958/CAU1	H	0.43	3.136
CAU1	ZD958	ZD958/CAU1	H	0.37	3.109
CAU1	ZD958	ZD958/CAU1	H	0.4	3.106
CAU1	ZD958	ZD958/CAU1	H	0.32	3.091
CAU1	ZD958	ZD958/CAU1	H	0.4	2.927
CAU1	ZD958	ZD958/CAU1	H	0.39	2.869
CAU1	ZD958	ZD958/CAU1	H	0.31	2.837
CAU1	ZD958	ZD958/CAU1	H	0.63	2.83
CAU1	ZD958	ZD958/CAU1	H	0.31	2.649
CAU1	ZD958	ZD958/CAU1	H	0.31	2.649
CAU1	ZD958	ZD958/CAU1	H	0.3	2.243
