"male" "female" "type" "oil_mean" "oil_sd" "w_mean" "w_sd" "no"
"1" "CAU1" "ZD958" "C" 5.6610947368421 0.687334442960695 0.426210526315789 0.0401631315672429 190
"2" "CAU1" "ZD958" "H" 4.17786861313869 0.839985143579392 0.384014598540146 0.0580245872582654 137
"3" "CAU2" "ZD958" "C" 4.62582521489971 0.509881399152256 0.373753581661891 0.0414944535839043 349
"4" "CAU2" "ZD958" "H" 4.12790579710145 0.730086964999717 0.362898550724638 0.0694630385205831 138
"5" "CAU3" "ZD958" "C" 4.45164028776978 0.612317657060241 0.38863309352518 0.0781600127465104 139
"6" "CAU3" "ZD958" "H" 3.7045119047619 0.725378818959551 0.345714285714286 0.0692523929292905 168
"7" "CAU4" "ZD958" "C" 4.53538518518519 0.483183133063842 0.362962962962963 0.0568721277650878 135
"8" "CAU4" "ZD958" "H" 3.97149606299213 0.710797460424755 0.328897637795276 0.0457777298468508 127
"9" "CAU5" "ZD958" "C" 4.32487096774194 0.599300665373844 0.44505376344086 0.0670759409973693 93
"10" "CAU5" "ZD958" "H" 3.48104761904762 0.58607128620281 0.381360544217687 0.0925116760922665 147
"11" "CAU6" "JK968" "C" 2.8268253968254 0.4789883674149 0.40968253968254 0.0582532915854783 63
"12" "CAU6" "JK968" "H" 2.42455737704918 0.505322125796677 0.375573770491803 0.0253984638750676 61
"13" "CAU6" "ND678" "C" 2.42866101694915 0.347769672597049 0.430677966101695 0.0461206964829001 59
"14" "CAU6" "ND678" "H" 1.32068055555556 0.70811423496314 0.636944444444444 0.219856796471286 72
"15" "CAU6" "Qi319/BY815" "C" 5.04640236686391 0.934936764601697 0.34189349112426 0.106020945898851 169
"16" "CAU6" "Qi319/BY815" "H" 5.39366956521739 0.85281640443863 0.334086956521739 0.0383633517591965 115
"17" "CAU6" "XY335" "C" 2.66071698113208 0.400095920102941 0.439245283018868 0.0897185568791432 53
"18" "CAU6" "XY335" "H" 2.24912121212121 0.561334331067886 0.404242424242424 0.0806141924145371 66
"19" "CAU6" "Yu8701/BY815" "C" 5.53401183431953 1.04249019630063 0.381656804733728 0.0712280080794598 169
"20" "CAU6" "Yu8701/BY815" "H" 5.55288617886179 1.35293239022219 0.335609756097561 0.0755324958996144 123
"21" "CAU6" "ZD958" "C" 3.42642857142857 0.524231902460737 0.478571428571429 0.043915503282684 63
"22" "CAU6" "ZD958" "H" 3.06295744680851 0.626594312879131 0.423404255319149 0.048957683402172 47
"23" "CAUZPY" "ZD958" "C" 5.41326229508197 0.694431544719944 0.521803278688525 0.0682970709951513 122
"24" "CAUZPY" "ZD958" "H" 3.80385496183206 0.60492818546613 0.462900763358779 0.043243292936919 131
"25" "CHOI1" "ZD958" "C" 6.04335294117647 0.634478211159162 0.449485294117647 0.0472553324906485 136
"26" "CHOI1" "ZD958" "H" 3.99215384615385 0.630370574677468 0.420384615384615 0.0491383720369333 130
"27" "CHOI2" "ZD958" "C" 6.33854205607477 0.568979179915104 0.442710280373832 0.0436229577228171 107
"28" "CHOI2" "ZD958" "H" 4.48509248554913 0.911194253790529 0.40728323699422 0.0523529569469467 173
"29" "CHOI3" "ZD958" "C" 5.30790374331551 0.667246759450104 0.42572192513369 0.0444063312900258 187
"30" "CHOI3" "ZD958" "H" 3.7220275862069 0.666819034096745 0.399724137931035 0.0389968807083444 145
"31" "CHOI4" "GY923/BY815" "C" 9.30048181818182 0.755865039793471 0.345181818181818 0.0898493317653628 110
"32" "CHOI4" "GY923/BY815" "H" 9.46638095238095 1.05959563568946 0.321238095238095 0.0771698331615609 105
"33" "CHOI4" "JK968" "C" 4.38825 0.670724070994746 0.4175 0.0347469846343027 52
"34" "CHOI4" "JK968" "H" 2.982625 0.667044814154873 0.397142857142857 0.0706003936562367 56
"35" "CHOI4" "ND678" "C" 3.97771666666667 0.658678365781071 0.410333333333333 0.050488013904516 60
"36" "CHOI4" "ND678" "H" 3.03840983606557 0.748516185018716 0.39327868852459 0.0472483266538054 61
"37" "CHOI4" "XY335" "C" 4.34368 0.523010767439011 0.4046 0.0671340419745209 50
"38" "CHOI4" "XY335" "H" 3.31783928571429 0.601008297531156 0.358035714285714 0.0394701103417461 56
"39" "CHOI4" "Z58/BY815" "C" 6.2835 0.971446406053731 0.462704918032787 0.0603849481169284 122
"40" "CHOI4" "Z58/BY815" "H" 6.36053846153846 1.16133775818845 0.389230769230769 0.0545854888850231 117
"41" "CHOI4" "ZD958" "C" 6.27067052023121 0.58271276291819 0.431329479768786 0.0717632663229067 173
"42" "CHOI4" "ZD958" "H" 4.25180337078652 0.692630734229916 0.370786516853933 0.0693834790264257 178
"43" "CHOI4-1" "ZD958" "C" 5.49818253968254 0.489177520346856 0.438333333333333 0.0657114906237866 126
"44" "CHOI4-1" "ZD958" "H" 3.90506962025316 0.626450277784407 0.414683544303797 0.0814570410486563 158
