Materials	FPOC	IOC	OCD	HIR	T	HCR	FDR	F	ACC
ZD958/CAU1	2.84 	7.05 	4.21 	3.64 	4.14 	0.42 	0.52 	0.52 	0.97 
ZD958/CAU2	2.84 	4.13 	1.29 	13.31 	3.95 	0.60 	0.60 	0.40 	0.84 
ZD958/CAU3	2.84 	3.27 	0.43 	9.90 	3.58 	0.62 	0.57 	0.40 	0.87 
ZD958/CAU4	2.84 	4.32 	1.48 	14.59 	3.87 	0.53 	0.56 	0.46 	0.85 
ZD958/CAU5	2.84 	3.37 	0.53 	14.00 	3.60 	0.55 	0.42 	0.51 	0.84 
ZD958/CAU6	2.84 	3.02 	0.18 	14.00 	2.95 	0.72 	0.57 	0.34 	0.76 
ZD958/CAUZPY	2.84 	9.63 	6.79 	13.70 	4.24 	0.27 	0.24 	0.75 	0.93 
ZD958/CHOI1	2.84 	8.43 	5.59 	10.42 	4.65 	0.12 	0.15 	0.86 	0.97 
ZD958/CHOI2	2.84 	7.28 	4.44 	12.25 	5.12 	0.13 	0.24 	0.81 	0.96 
ZD958/CHOI3	2.84 	8.60 	5.76 	8.77 	4.04 	0.30 	0.32 	0.69 	0.95 
ZD958/CHOI4	2.84 	12.09 	9.25 	14.70 	5.02 	0.10 	0.13 	0.88 	0.97 
JK968/CAU6	2.80 	3.02 	0.22 	17.64 	2.49 	0.67 	0.45 	0.41 	0.72 
JK968/CHOI4	2.80 	12.09 	9.29 	17.52 	3.38 	0.30 	0.28 	0.71 	0.90 
ND678/CAU6	2.68 	3.02 	0.34 	18.85 	1.75 	0.13 	0.27 	0.79 	0.93 
ND678/CHOI4	2.68 	12.09 	9.41 	20.84 	3.26 	0.46 	0.38 	0.58 	0.81 
XY335/CAU6	2.55 	3.02 	0.47 	17.00 	2.19 	0.56 	0.54 	0.45 	0.81 
XY335/CHOI4	2.55 	12.09 	9.54 	10.59 	3.45 	0.39 	0.41 	0.60 	0.92 
