"oil" "HCR" "FDR" "HMR" "Material"
"1" 0.01 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"2" 0.02 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"3" 0.03 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"4" 0.04 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"5" 0.05 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"6" 0.06 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"7" 0.07 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"8" 0.08 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"9" 0.09 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"10" 0.1 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"11" 0.11 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"12" 0.12 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"13" 0.13 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"14" 0.14 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"15" 0.15 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"16" 0.16 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"17" 0.17 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"18" 0.18 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"19" 0.19 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"20" 0.2 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"21" 0.21 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"22" 0.22 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"23" 0.23 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"24" 0.24 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"25" 0.25 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"26" 0.26 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"27" 0.27 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"28" 0.28 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"29" 0.29 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"30" 0.3 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"31" 0.31 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"32" 0.32 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"33" 0.33 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"34" 0.34 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"35" 0.35 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"36" 0.36 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"37" 0.37 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"38" 0.38 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"39" 0.39 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"40" 0.4 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"41" 0.41 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"42" 0.42 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"43" 0.43 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"44" 0.44 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"45" 0.45 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"46" 0.46 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"47" 0.47 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"48" 0.48 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"49" 0.49 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"50" 0.5 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"51" 0.51 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"52" 0.52 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"53" 0.53 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"54" 0.54 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"55" 0.55 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"56" 0.56 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"57" 0.57 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"58" 0.58 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"59" 0.59 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"60" 0.6 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"61" 0.61 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"62" 0.62 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"63" 0.63 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"64" 0.64 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"65" 0.65 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"66" 0.66 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"67" 0.67 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"68" 0.68 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"69" 0.69 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"70" 0.7 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"71" 0.71 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"72" 0.72 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"73" 0.73 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"74" 0.74 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"75" 0.75 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"76" 0.76 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"77" 0.77 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"78" 0.78 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"79" 0.79 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"80" 0.8 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"81" 0.81 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"82" 0.82 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"83" 0.83 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"84" 0.84 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"85" 0.85 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"86" 0.86 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"87" 0.87 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"88" 0.88 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"89" 0.89 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"90" 0.9 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"91" 0.91 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"92" 0.92 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"93" 0.93 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"94" 0.94 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"95" 0.95 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"96" 0.96 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"97" 0.97 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"98" 0.98 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"99" 0.99 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"100" 1 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"101" 1.01 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"102" 1.02 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"103" 1.03 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"104" 1.04 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"105" 1.05 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"106" 1.06 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"107" 1.07 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"108" 1.08 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"109" 1.09 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"110" 1.1 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"111" 1.11 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"112" 1.12 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"113" 1.13 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"114" 1.14 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"115" 1.15 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"116" 1.16 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"117" 1.17 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"118" 1.18 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"119" 1.19 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"120" 1.2 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"121" 1.21 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"122" 1.22 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"123" 1.23 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"124" 1.24 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"125" 1.25 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"126" 1.26 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"127" 1.27 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"128" 1.28 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"129" 1.29 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"130" 1.3 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"131" 1.31 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"132" 1.32 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"133" 1.33 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"134" 1.34 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"135" 1.35 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"136" 1.36 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"137" 1.37 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"138" 1.38 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"139" 1.39 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"140" 1.4 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"141" 1.41 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"142" 1.42 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"143" 1.43 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"144" 1.44 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"145" 1.45 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"146" 1.46 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"147" 1.47 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"148" 1.48 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"149" 1.49 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"150" 1.5 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"151" 1.51 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"152" 1.52 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"153" 1.53 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
